Age,Sex,Job,Housing,Saving_accounts,Checking_account,Credit_amount,Duration,Purpose,Risk
56,male,2,own,rich,rich,23078,36,radio/TV,0
69,male,0,free,little,rich,18383,63,car,0
46,male,2,free,moderate,rich,30282,9,car,0
32,female,0,own,moderate,little,17479,27,radio/TV,0
60,female,1,free,rich,moderate,34246,8,business,1
25,male,0,free,rich,little,1230,52,business,0
38,female,2,own,rich,rich,556,43,car,1
56,female,2,free,rich,little,31957,38,education,0
36,male,0,rent,rich,moderate,2743,53,radio/TV,1
40,female,3,free,rich,little,2201,70,furniture,1
28,male,1,rent,little,rich,8803,31,business,1
28,male,1,free,moderate,moderate,15600,13,education,0
41,female,2,own,little,little,1447,55,business,0
53,female,3,own,little,little,21005,43,education,0
57,female,0,free,rich,moderate,7053,15,radio/TV,1
41,male,1,own,moderate,moderate,34025,47,radio/TV,0
20,male,3,free,little,rich,15366,42,radio/TV,0
39,female,1,own,rich,moderate,30972,31,car,1
19,female,3,rent,rich,rich,6151,17,education,1
41,female,3,free,moderate,little,7773,54,furniture,0
61,female,2,rent,little,rich,10533,19,furniture,1
47,male,1,rent,little,little,4035,51,radio/TV,0
55,female,0,free,little,moderate,19177,40,furniture,0
19,male,2,rent,rich,little,17988,34,business,0
38,male,2,free,moderate,moderate,1408,17,education,1
50,female,0,rent,moderate,little,5117,49,education,0
29,female,2,free,little,little,30931,71,education,0
39,female,3,free,rich,little,23953,7,business,1
61,male,3,own,little,little,16520,64,car,0
42,female,1,free,moderate,rich,27062,22,business,0
66,female,1,free,rich,little,24873,15,education,1
44,male,0,rent,little,rich,30664,23,education,0
59,female,1,free,little,moderate,2385,27,education,1
45,male,3,own,rich,moderate,1549,63,furniture,1
33,female,0,rent,moderate,rich,1661,58,car,0
32,male,0,rent,rich,moderate,1315,6,business,1
64,female,1,own,little,moderate,27998,66,education,0
68,female,3,rent,little,little,25537,36,radio/TV,0
61,male,0,rent,little,little,14442,36,car,0
69,male,3,rent,little,little,27778,71,radio/TV,0
20,female,3,rent,moderate,rich,8772,24,car,0
54,male,3,own,moderate,rich,34137,58,education,0
68,male,1,own,little,moderate,8241,27,car,1
24,male,2,rent,moderate,little,5194,28,car,0
38,male,2,rent,moderate,rich,30806,20,education,0
26,female,0,own,moderate,rich,2434,31,radio/TV,1
56,female,3,own,little,little,22056,8,radio/TV,0
35,male,1,own,rich,rich,19407,25,furniture,1
21,male,3,rent,rich,little,6659,45,radio/TV,0
42,male,3,rent,rich,moderate,29658,44,radio/TV,0
31,male,1,free,little,moderate,20793,23,car,0
67,female,2,own,moderate,moderate,34432,46,furniture,0
26,female,3,rent,moderate,little,33887,32,education,0
43,male,3,own,little,rich,3566,20,education,1
19,male,2,rent,little,moderate,21756,42,business,0
37,male,1,own,rich,moderate,6094,63,furniture,1
45,female,0,rent,rich,moderate,2960,10,car,1
64,male,2,free,little,rich,7320,12,business,1
24,female,0,free,rich,rich,16691,46,business,0
61,male,0,own,moderate,little,19595,15,education,0
25,female,2,rent,little,moderate,11029,67,radio/TV,0
64,male,3,rent,little,rich,32675,31,car,0
52,female,0,own,moderate,little,18175,29,furniture,0
31,male,0,rent,moderate,moderate,5874,46,business,0
34,male,1,own,moderate,rich,26476,70,car,0
53,male,3,rent,rich,rich,13642,22,education,1
67,female,0,own,little,little,12704,29,business,1
57,male,1,rent,rich,moderate,7894,32,business,1
21,female,3,own,moderate,moderate,34093,12,education,0
19,female,2,rent,rich,rich,12152,17,education,1
23,male,2,free,moderate,moderate,34240,8,education,0
59,male,1,rent,rich,little,943,15,car,1
21,male,2,own,rich,rich,24403,38,car,0
46,female,0,free,moderate,rich,34022,51,car,0
35,male,3,rent,rich,little,28680,64,radio/TV,0
43,female,0,free,little,rich,21619,57,business,0
61,female,0,rent,rich,moderate,10863,11,car,1
51,male,2,free,rich,moderate,32041,7,radio/TV,1
27,male,0,own,little,rich,3965,34,business,1
53,male,2,rent,moderate,little,3211,45,car,0
31,male,3,rent,little,little,25698,66,education,0
48,male,3,own,rich,moderate,22988,34,furniture,1
65,male,0,free,moderate,little,24108,67,car,0
32,female,1,own,rich,rich,28398,65,furniture,0
25,female,2,own,rich,rich,2419,46,car,0
31,female,2,free,little,moderate,31671,70,education,0
40,male,0,own,little,moderate,21099,69,furniture,0
57,female,2,rent,moderate,moderate,17465,68,radio/TV,0
38,female,2,rent,moderate,little,14934,53,education,0
33,female,1,rent,moderate,rich,2499,25,furniture,1
62,female,1,own,rich,rich,15349,42,furniture,0
35,female,0,rent,little,rich,11403,69,education,0
64,male,1,rent,little,moderate,5945,10,education,1
41,male,0,rent,little,rich,18540,39,education,0
